൧൦	പത്ത്
൧൦	പത്തു
൧൧	പതിനൊന്ന്
൧൨	പന്ത്രണ്ട്
൧൩	പതിമൂന്ന്
൧൪	പതിനാല്
൧൫	പതിനഞ്ച്
൧൬	പതിനാറ്
൧൭	പതിനേഴ്
൧൮	പതിനെട്ട്
൧൯	പത്തൊമ്പത്
൨൦	ഇരുപത്
൨൦	ഇരുപതു
൨൧	ഇരുപത്തൊന്ന്
൨൨	ഇരുപത്തിരണ്ട്
൨൩	ഇരുപത്തിമൂന്ന്
൨൪	ഇരുപത്തിനാല്
൨൫	ഇരുപത്തഞ്ച്
൨൬	ഇരുപത്തിയാറ്
൨൭	ഇരുപത്തേഴ്
൨൮	ഇരുപത്തെട്ട്
൨൯	ഇരുപത്തൊമ്പത്
൩൦	മുപ്പത്
൩൦	മുപ്പതു
൩൧	മുപ്പത്തൊന്ന്
൩൨	മുപ്പത്തിരണ്ട്
൩൩	മുപ്പത്തിമൂന്ന്
൩൪	മുപ്പത്തിനാല്
൩൫	മുപ്പത്തഞ്ച്
൩൬	മുപ്പത്തിയാറ്
൩൭	മുപ്പത്തേഴ്
൩൮	മുപ്പത്തെട്ട്
൩൯	മുപ്പത്തൊമ്പത്
൪൦	നാല്പത്
൪൦	നാല്പതു
൪൧	നാല്പത്തൊന്ന്
൪൨	നാല്പത്തിരണ്ട്
൪൩	നാല്പത്തിമൂന്ന്
൪൪	നാല്പത്തിനാല്
൪൫	നാല്പത്തഞ്ച്
൪൬	നാല്പത്തിയാറ്
൪൭	നാല്പത്തേഴ്
൪൮	നാല്പത്തെട്ട്
൪൯	നാല്പത്തൊമ്പത്
൫൦	അമ്പത്
൫൦	അമ്പതു
൫൧	അമ്പത്തൊന്ന്
൫൨	അമ്പത്തിരണ്ട്
൫൩	അമ്പത്തിമൂന്ന്
൫൪	അമ്പത്തിനാല്
൫൫	അമ്പത്തഞ്ച്
൫൬	അമ്പത്തിയാറ്
൫൭	അമ്പത്തേഴ്
൫൮	അമ്പത്തെട്ട്
൫൯	അമ്പത്തൊമ്പത്
൬൦	അറുപത്
൬൦	അറുപതു
൬൧	അറുപത്തൊന്ന്
൬൨	അറുപത്തിരണ്ട്
൬൩	അറുപത്തിമൂന്ന്
൬൪	അറുപത്തിനാല്
൬൫	അറുപത്തഞ്ച്
൬൬	അറുപത്തിയാറ്
൬൭	അറുപത്തേഴ്
൬൮	അറുപത്തെട്ട്
൬൯	അറുപത്തൊമ്പത്
൭൦	എഴുപത്
൭൦	എഴുപതു
൭൧	എഴുപത്തൊന്ന്
൭൨	എഴുപത്തിരണ്ട്
൭൩	എഴുപത്തിമൂന്ന്
൭൪	എഴുപത്തിനാല്
൭൫	എഴുപത്തഞ്ച്
൭൬	എഴുപത്തിയാറ്
൭൭	എഴുപത്തേഴ്
൭൮	എഴുപത്തെട്ട്
൭൯	എഴുപത്തൊമ്പത്
൮൦	എൺപത്
൮൦	എൺപതു
൮൧	എൺപത്തൊന്ന്
൮൨	എൺപത്തിരണ്ട്
൮൩	എൺപത്തിമൂന്ന്
൮൪	എൺപത്തിനാല്
൮൫	എൺപത്തഞ്ച്
൮൬	എൺപത്തിയാറ്
൮൭	എൺപത്തേഴ്
൮൮	എൺപത്തെട്ട്
൮൯	എൺപത്തൊമ്പത്
൯൦	തൊണ്ണൂറ്
൯൦	തൊണ്ണൂറു
൯൧	തൊണ്ണൂറ്റൊന്ന്
൯൨	തൊണ്ണൂറ്റിരണ്ട്
൯൩	തൊണ്ണൂറ്റിമൂന്ന്
൯൪	തൊണ്ണൂറ്റിനാല്
൯൫	തൊണ്ണൂറ്റഞ്ച്
൯൬	തൊണ്ണൂറ്റിയാറ്
൯൭	തൊണ്ണൂറ്റേഴ്
൯൮	തൊണ്ണൂറ്റെട്ട്
൯൯	തൊണ്ണൂറ്റൊമ്പത്

൧൦	ടെൻ
൧൧	ഇലവൻ
൧൨	ട്വെൽവ്
൨൦	ട്വെന്റി
൩൦	തർടി
൪൦	ഫോർടി
൫൦	ഫിഫ്റ്റി
൬൦	സിക്സ്റ്റി
൭൦	സെവന്റി
൮൦	എയ്റ്റി
൯൦	നൈന്റി
