௧௦	பத்து
௧௧	பதினொன்று
௧௧	பதினொண்ணு
௧௨	பன்னிரண்டு
௧௨	பன்னெண்டு
௧௩	பதிமூன்று
௧௩	பதிமூணு
௧௪	பதினான்கு
௧௪	பதினாலு
௧௫	பதினைந்து
௧௫	பதினஞ்சு
௧௬	பதினாறு
௧௭	பதினேழு
௧௭	பதினேழ்
௧௮	பதினெட்டு
௧௯	பத்தொன்பது
௧௯	பத்தொம்போது
௨௦	இருபது
௨௦	இருவது
௨௧	இருபத்தொன்று
௨௧	இருபத்தொண்ணு
௨௨	இருபத்திரண்டு
௨௨	இருபத்தெரண்டு
௨௩	இருபத்திமூன்று
௨௩	இருபத்திமூணு
௨௪	இருபத்தினான்கு
௨௪	இருபத்தினாலு
௨௫	இருபத்தைந்து
௨௫	இருபத்தஞ்சு
௨௬	இருபத்தாறு
௨௭	இருபத்தேழு
௨௮	இருபத்தெட்டு
௨௯	இருபத்தொன்பது
௩௦	முப்பது
௩௧	முப்பத்தொன்று
௩௨	முப்பத்திரண்டு
௩௩	முப்பத்திமூன்று
௩௪	முப்பத்தினான்கு
௩௫	முப்பத்தைந்து
௩௬	முப்பத்தாறு
௩௭	முப்பத்தேழு
௩௮	முப்பத்தெட்டு
௩௯	முப்பத்தொன்பது
௪௦	நாற்பது
௪௧	நாற்பத்தொன்று
௪௨	நாற்பத்திரண்டு
௪௩	நாற்பத்திமூன்று
௪௪	நாற்பத்தினான்கு
௪௫	நாற்பத்தைந்து
௪௬	நாற்பத்தாறு
௪௭	நாற்பத்தேழு
௪௮	நாற்பத்தெட்டு
௪௯	நாற்பத்தொன்பது
௫௦	ஐம்பது
௫௧	ஐம்பத்தொன்று
௫௨	ஐம்பத்திரண்டு
௫௩	ஐம்பத்திமூன்று
௫௪	ஐம்பத்தினான்கு
௫௫	ஐம்பத்தைந்து
௫௬	ஐம்பத்தாறு
௫௭	ஐம்பத்தேழு
௫௮	ஐம்பத்தெட்டு
௫௯	ஐம்பத்தொன்பது
௬௦	அறுபது
௬௧	அறுபத்தொன்று
௬௨	அறுபத்திரண்டு
௬௩	அறுபத்திமூன்று
௬௪	அறுபத்தினான்கு
௬௫	அறுபத்தைந்து
௬௬	அறுபத்தாறு
௬௭	அறுபத்தேழு
௬௮	அறுபத்தெட்டு
௬௯	அறுபத்தொன்பது
௭௦	எழுபது
௭௧	எழுபத்தொன்று
௭௨	எழுபத்திரண்டு
௭௩	எழுபத்திமூன்று
௭௪	எழுபத்தினான்கு
௭௫	எழுபத்தைந்து
௭௬	எழுபத்தாறு
௭௭	எழுபத்தேழு
௭௮	எழுபத்தெட்டு
௭௯	எழுபத்தொன்பது
௮௦	எண்பது
௮௧	எண்பத்தொன்று
௮௨	எண்பத்திரண்டு
௮௩	எண்பத்திமூன்று
௮௪	எண்பத்தினான்கு
௮௫	எண்பத்தைந்து
௮௬	எண்பத்தாறு
௮௭	எண்பத்தேழு
௮௮	எண்பத்தெட்டு
௮௯	எண்பத்தொன்பது
௯௦	தொண்ணூறு
௯௧	தொண்ணூற்றொன்று
௯௨	தொண்ணூற்றிரண்டு
௯௩	தொண்ணூற்றிமூன்று
௯௪	தொண்ணூற்றினான்கு
௯௫	தொண்ணூற்றைந்து
௯௬	தொண்ணூற்றாறு
௯௭	தொண்ணூற்றேழு
௯௮	தொண்ணூற்றெட்டு
௯௯	தொண்ணூற்றொன்பது
௧௦	டென்
௧௧	எலவன்
௧௨	ட்வெல்வ்
௨௦	ட்வென்டி
௩௦	தர்டி
௪௦	ஃபோர்டி
௫௦	ஃபிப்டி
௬௦	சிக்ஸ்டி
௭௦	செவன்டி
௮௦	எயிடி
௯௦	நைன்டி
௧௦"Added English and Hindi tens.git .github .gitignore .pre-commit-config.yaml CHANGELOG.md CONTRIBUTING.md Jenkinsfile LICENSE MANIFEST.in README.md __init__.py __pycache__ data environment.yml infer.py nemo_text_processing nemo_text_processing.egg-info reinstall.sh requirements setup.cfg setup.py tests tools tutorials "Added English and Hindi tens""Added English and Hindi tens"
"Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens"
#"Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens"
#"Added English and Hindi tens"

#"Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens"
"Added English and Hindi tens"
#"Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens"
"Added English and Hindi tens"
"Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens to teens_and_ties.tsv"
#"Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens to teens_and_ties.tsv"

.git .github .gitignore .pre-commit-config.yaml CHANGELOG.md CONTRIBUTING.md Jenkinsfile LICENSE MANIFEST.in README.md __init__.py __pycache__ data environment.yml infer.py nemo_text_processing nemo_text_processing.egg-info reinstall.sh requirements setup.cfg setup.py tests tools tutorials "Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens"
.git .github .gitignore .pre-commit-config.yaml CHANGELOG.md CONTRIBUTING.md Jenkinsfile LICENSE MANIFEST.in README.md __init__.py __pycache__ data environment.yml infer.py nemo_text_processing nemo_text_processing.egg-info reinstall.sh requirements setup.cfg setup.py tests tools tutorials "Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens"
"Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi "Added English and Hindi tens""Added English and Hindi tens"
"Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens"
"Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens""Added English and Hindi tens"
