১০	ten
১১	eleven
১২	twelve
১৩	thirteen
১৪	fourteen
১৫	fifteen
১৬	sixteen
১৭	seventeen
১৮	eighteen
১৯	nineteen
২০	twenty
২১	twenty one
২২	twenty two
২৩	twenty three
২৪	twenty four
২৫	twenty five
২৬	twenty six
২৭	twenty seven
২৮	twenty eight
২৯	twenty nine
৩০	thirty
৩১	thirty one
৩২	thirty two
৩৩	thirty three
৩৪	thirty four
৩৫	thirty five
৩৬	thirty six
৩৭	thirty seven
৩৮	thirty eight
৩৯	thirty nine
৪০	forty
৪১	forty one
৪২	forty two
৪৩	forty three
৪৪	forty four
৪৫	forty five
৪৬	forty six
৪৭	forty seven
৪৮	forty eight
৪৯	forty nine
৫০	fifty
৫১	fifty one
৫২	fifty two
৫৩	fifty three
৫৪	fifty four
৫৫	fifty five
৫৬	fifty six
৫৭	fifty seven
৫৮	fifty eight
৫৯	fifty nine
৬০	sixty
৬১	sixty one
৬২	sixty two
৬৩	sixty three
৬৪	sixty four
৬৫	sixty five
৬৬	sixty six
৬৭	sixty seven
৬৮	sixty eight
৬৯	sixty nine
৭০	seventy
৭১	seventy one
৭২	seventy two
৭৩	seventy three
৭৪	seventy four
৭৫	seventy five
৭৬	seventy six
৭৭	seventy seven
৭৮	seventy eight
৭৯	seventy nine
৮০	eighty
৮১	eighty one
৮২	eighty two
৮৩	eighty three
৮৪	eighty four
৮৫	eighty five
৮৬	eighty six
৮৭	eighty seven
৮৮	eighty eight
৮৯	eighty nine
৯০	ninety
৯১	ninety one
৯২	ninety two
৯৩	ninety three
৯৪	ninety four
৯৫	ninety five
৯৬	ninety six
৯৭	ninety seven
৯৮	ninety eight
৯৯	ninety nine
